epochs	refinement	Runs	X_type	X_degree	X_breaks	B_type	B_degree	B_breaks	design	criterion
1000	100	12	bpslines	0	2	bsplines	0	2	[[-1.  1.]  [-1. -1.]  [ 1.  1.]  [ 1. -1.]  [ 1. -1.]  [-1.  1.]  [-1. -1.]  [ 1.  1.]  [ 1. -1.]  [-1.  1.]  [-1. -1.]  [ 1.  1.]]	0.75
1000	100	12	bpslines	0	2	bsplines	0	4	NONE	NONE
1000	100	12	bpslines	0	2	bsplines	1	4	NONE	NONE
1000	100	12	bpslines	0	2	bsplines	1	6	NONE	NONE
1000	100	12	bpslines	0	2	bsplines	3	4	NONE	NONE
1000	100	12	bpslines	0	2	bsplines	3	6	NONE	NONE
1000	100	12	bpslines	0	2	polynomial	2	-	[[ 1. -1.]  [ 1. -1.]  [-1.  1.]  [ 1. -1.]  [-1.  1.]  [ 1. -1.]  [-1.  1.]  [ 1.  1.]  [ 1. -1.]  [-1. -1.]  [-1.  1.]  [-1.  1.]]	2.583333333
1000	100	12	bpslines	0	2	polynomial	3	-	NONE	NONE
1000	100	12	bpslines	0	8	bsplines	0	2	[[-1. -1. -1. -1. -1. -1. -1. -1.]  [-1. -1. -1. -1.  1.  1.  1.  1.]  [ 1.  1.  1.  1. -1. -1. -1. -1.]  [-1. -1. -1. -1. -1. -1. -1. -1.]  [ 1.  1.  1.  1.  1.  1.  1.  1.]  [ 1.  1.  1.  1. -1. -1. -1. -1.]  [-1. -1. -1. -1.  1.  1.  1.  1.]  [ 1.  1.  1.  1.  1.  1.  1.  1.]  [ 1.  1.  1.  1. -1. -1. -1. -1.]  [-1. -1. -1. -1.  1.  1.  1.  1.]  [-1. -1. -1. -1. -1. -1. -1. -1.]  [ 1.  1.  1.  1.  1.  1.  1.  1.]]	0.75
1000	100	12	bpslines	0	8	bsplines	0	4	[[-1. -1.  1.  1.  1.  1. -1. -1.]  [-1. -1. -1. -1. -1. -1. -1. -1.]  [ 1.  1. -1. -1.  1.  1. -1. -1.]  [-1. -1. -1. -1.  1.  1.  1.  1.]  [ 1.  1.  1.  1. -1. -1.  1.  1.]  [-1. -1. -1. -1. -1. -1. -1. -1.]  [ 1.  1. -1. -1. -1. -1.  1.  1.]  [-1. -1.  1.  1. -1. -1.  1.  1.]  [ 1.  1.  1.  1.  1.  1. -1. -1.]  [ 1.  1.  1.  1. -1. -1. -1. -1.]  [ 1.  1. -1. -1.  1.  1.  1.  1.]  [-1. -1.  1.  1.  1.  1.  1.  1.]]	5.416666667
1000	100	12	bpslines	0	8	bsplines	1	4	[[-1. -1. -1.  1.  1.  1. -1. -1.]  [ 1.  1. -1. -1. -1. -1. -1. -1.]  [ 1.  1.  1.  1.  1.  1. -1. -1.]  [-1.  1.  1.  1. -1. -1. -1.  1.]  [-1. -1.  1.  1. -1. -1. -1. -1.]  [ 1.  1. -1. -1. -1. -1.  1.  1.]  [-1. -1. -1. -1.  1.  1. -1. -1.]  [ 1.  1. -1. -1.  1.  1.  1.  1.]  [-1. -1.  1.  1.  1.  1.  1.  1.]  [-1.  1.  1.  1. -1. -1.  1.  1.]  [ 1.  1. -1. -1.  1.  1. -1. -1.]  [-1. -1. -1. -1. -1. -1.  1.  1.]]	13.15721104
1000	100	12	bpslines	0	8	bsplines	1	6	[[-1.         -1.          0.48780846  1.         -1.         -1.    1.         -1.        ]  [-1.         -1.         -1.         -1.          1.         -1.   -1.          1.        ]  [ 1.          1.          1.          1.          1.         -1.   -1.          1.        ]  [-1.          1.          1.         -1.          1.          1.   -1.         -1.        ]  [ 1.         -1.         -1.          1.          1.          1.   -1.         -1.        ]  [ 1.          1.         -1.         -1.         -1.         -1.   -1.         -1.        ]  [-1.          1.          1.         -1.         -1.         -1.   -1.          1.        ]  [ 1.         -1.         -1.         -1.          1.          1.    1.          1.        ]  [ 1.         -1.          1.          1.         -1.         -1.    1.          1.        ]  [ 1.          1.         -1.         -1.         -1.          1.    1.         -1.        ]  [-1.          1.          1.         -1.          1.          1.    1.          1.        ]  [-1.          1.          1.          1.         -1.          1.    1.         -1.        ]]	47.05616269
1000	100	12	bpslines	0	8	bsplines	3	4	[[-1.         1.         1.         1.        -1.        -1.   -1.         1.       ]  [ 1.        -1.        -1.        -1.         1.         1.    1.        -1.       ]  [-1.        -1.         1.         1.         1.         1.    1.         1.       ]  [-1.        -1.        -1.        -1.        -1.        -1.   -1.         1.       ]  [-1.        -1.        -1.         1.         1.         1.   -1.        -1.       ]  [ 1.        -1.        -1.        -1.         1.         1.    1.        -1.       ]  [ 1.         1.        -1.        -1.        -1.         1.    1.         1.       ]  [-1.         1.         1.         1.        -1.        -1.   -1.         1.       ]  [ 1.         1.        -1.        -1.        -1.        -1.    1.         1.       ]  [ 1.         1.         1.         1.         1.        -1.   -1.        -1.       ]  [-1.         1.         1.         1.        -1.        -1.   -1.         1.       ]  [ 1.        -1.        -1.        -1.         1.         1.   -0.5334768 -1.       ]]	52.85638533
