runID;model;runs;Kx;algo;epochs;refinement_epochs;levels;latent_dim;num_layers;num_designs;opt_cr;opt_des;run_time_s;run_time_f
0;ScalarOnScalarModel;5;[4];CordexDiscrete;1000;100.0;[-1.  1.];;;;1.111111111111111;"[[ 1. -1. -1. -1.]
 [-1.  1.  1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1.  1.  1.]
 [ 1.  1.  1.  1.]]";1.9395670890808103;0 days 00:00:01.939567
1;ScalarOnScalarModel;5;[4];CordexDiscrete;1000;100.0;[-1.  0.  1.];;;;1.111111111111111;"[[-1. -1.  1. -1.]
 [ 1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [ 1. -1.  1.  1.]
 [-1.  1.  1.  1.]]";2.288264751434326;0 days 00:00:02.288265
2;ScalarOnScalarModel;5;[4];CordexDiscrete;1000;100.0;[-1.  -0.5  0.   0.5  1. ];;;;1.111111111111111;"[[-1. -1. -1. -1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1.  1.]
 [ 1.  1.  1. -1.]
 [ 1. -1. -1.  1.]]";3.8811631202697754;0 days 00:00:03.881163
3;ScalarOnScalarModel;15;[4];CordexDiscrete;1000;100.0;[-1.  1.];;;;0.3409090909090909;"[[ 1. -1.  1. -1.]
 [-1.  1.  1. -1.]
 [ 1.  1. -1. -1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1.  1.]
 [-1. -1. -1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1.  1.]]";5.812875986099243;0 days 00:00:05.812876
4;ScalarOnScalarModel;15;[4];CordexDiscrete;1000;100.0;[-1.  0.  1.];;;;0.3409090909090909;"[[-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [-1.  1.  1.  1.]
 [ 1.  1. -1.  1.]
 [ 1. -1.  1. -1.]
 [ 1.  1.  1.  1.]
 [ 1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [ 1. -1. -1.  1.]
 [ 1.  1. -1. -1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1. -1.]]";7.1621880531311035;0 days 00:00:07.162188
5;ScalarOnScalarModel;15;[4];CordexDiscrete;1000;100.0;[-1.  -0.5  0.   0.5  1. ];;;;0.3409090909090909;"[[ 1. -1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1. -1.  1. -1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1.  1. -1.  1.]
 [-1.  1.  1.  1.]
 [ 1. -1. -1. -1.]
 [ 1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1. -1.]
 [-1.  1. -1. -1.]]";11.800477027893066;0 days 00:00:11.800477
6;ScalarOnScalarModel;30;[4];CordexDiscrete;1000;100.0;[-1.  1.];;;;0.1678046218487394;"[[ 1.  1. -1. -1.]
 [-1. -1. -1. -1.]
 [ 1. -1.  1.  1.]
 [ 1.  1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1. -1. -1.  1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1. -1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1.  1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1. -1.]
 [ 1.  1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1. -1. -1.  1.]
 [ 1. -1. -1.  1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [ 1.  1. -1.  1.]]";12.602643013000488;0 days 00:00:12.602643
7;ScalarOnScalarModel;30;[4];CordexDiscrete;1000;100.0;[-1.  0.  1.];;;;0.1678046218487394;"[[-1.  1.  1. -1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1.  1.]
 [-1. -1. -1.  1.]
 [ 1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [ 1. -1.  1. -1.]
 [ 1.  1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1.  1.  1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1. -1.]]";17.77447199821472;0 days 00:00:17.774472
8;ScalarOnScalarModel;30;[4];CordexDiscrete;1000;100.0;[-1.  -0.5  0.   0.5  1. ];;;;0.1678046218487394;"[[ 1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1.  1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1. -1.  1.]
 [ 1.  1.  1. -1.]
 [ 1. -1. -1. -1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1. -1.  1.]
 [-1. -1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1.  1.  1. -1.]
 [-1.  1. -1.  1.]
 [ 1.  1. -1. -1.]
 [ 1.  1. -1.  1.]
 [ 1.  1.  1.  1.]
 [-1. -1.  1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1.  1.  1.]]";25.80132794380188;0 days 00:00:25.801328
9;ScalarOnScalarModel;50;[4];CordexDiscrete;1000;100.0;[-1.  1.];;;;0.1002492877492877;"[[-1. -1.  1. -1.]
 [-1. -1. -1.  1.]
 [-1. -1.  1. -1.]
 [ 1.  1.  1. -1.]
 [ 1. -1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1.  1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [ 1. -1. -1. -1.]
 [ 1.  1.  1. -1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [-1. -1.  1.  1.]
 [ 1. -1.  1. -1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1.  1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [-1.  1. -1.  1.]
 [ 1.  1.  1. -1.]
 [-1.  1.  1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [-1.  1.  1.  1.]]";23.939181089401245;0 days 00:00:23.939181
